Country/Region,Province/State,Lat,Long,Date,Cases,Deaths,Continent
Algeria,,28.0339,1.6596,4/9/20,1666,347,Africa
Algeria,,28.0339,1.6596,4/10/20,1761,405,Africa
Algeria,,28.0339,1.6596,4/11/20,1825,460,Africa
Algeria,,28.0339,1.6596,4/12/20,1914,591,Africa
Algeria,,28.0339,1.6596,4/13/20,1983,601,Africa
Algeria,,28.0339,1.6596,4/14/20,2070,691,Africa
Algeria,,28.0339,1.6596,4/15/20,2160,708,Africa
Algeria,,28.0339,1.6596,4/16/20,2268,783,Africa
Algeria,,28.0339,1.6596,4/17/20,2418,846,Africa
Algeria,,28.0339,1.6596,4/18/20,2534,894,Africa
Algeria,,28.0339,1.6596,4/19/20,2629,1047,Africa
Algeria,,28.0339,1.6596,4/20/20,2718,1099,Africa
Algeria,,28.0339,1.6596,4/21/20,2811,1152,Africa
Algeria,,28.0339,1.6596,4/22/20,2910,1204,Africa
Algeria,,28.0339,1.6596,4/23/20,3007,1355,Africa
Algeria,,28.0339,1.6596,4/24/20,3127,1408,Africa
Algeria,,28.0339,1.6596,4/25/20,3256,1479,Africa
Algeria,,28.0339,1.6596,4/26/20,3382,1508,Africa
Algeria,,28.0339,1.6596,4/27/20,3517,1558,Africa
Algeria,,28.0339,1.6596,4/28/20,3649,1651,Africa
Algeria,,28.0339,1.6596,4/29/20,3848,1702,Africa
Algeria,,28.0339,1.6596,4/30/20,4006,1779,Africa
Algeria,,28.0339,1.6596,5/1/20,4154,1821,Africa
Algeria,,28.0339,1.6596,5/2/20,4295,1872,Africa
Algeria,,28.0339,1.6596,5/3/20,4474,1936,Africa
Algeria,,28.0339,1.6596,5/4/20,4648,1998,Africa
Algeria,,28.0339,1.6596,5/5/20,4838,2067,Africa
Algeria,,28.0339,1.6596,5/6/20,4997,2197,Africa
Algeria,,28.0339,1.6596,5/7/20,5182,2323,Africa
Algeria,,28.0339,1.6596,5/8/20,5369,2467,Africa
Algeria,,28.0339,1.6596,5/9/20,5558,2546,Africa
Algeria,,28.0339,1.6596,5/10/20,5723,2678,Africa
Algeria,,28.0339,1.6596,5/11/20,5891,2841,Africa
Algeria,,28.0339,1.6596,5/12/20,6067,2998,Africa
Algeria,,28.0339,1.6596,5/13/20,6253,3058,Africa
Algeria,,28.0339,1.6596,5/14/20,6442,3158,Africa
Algeria,,28.0339,1.6596,5/15/20,6629,3271,Africa
Algeria,,28.0339,1.6596,5/16/20,6821,3409,Africa
Algeria,,28.0339,1.6596,5/17/20,7019,3507,Africa
Algeria,,28.0339,1.6596,5/18/20,7201,3625,Africa
Algeria,,28.0339,1.6596,5/19/20,7377,3746,Africa
Algeria,,28.0339,1.6596,5/20/20,7542,3968,Africa
Algeria,,28.0339,1.6596,5/21/20,7728,4062,Africa
Algeria,,28.0339,1.6596,5/22/20,7918,4256,Africa
Algeria,,28.0339,1.6596,5/23/20,8113,4426,Africa
Algeria,,28.0339,1.6596,5/24/20,8306,4784,Africa
Algeria,,28.0339,1.6596,5/25/20,8503,4747,Africa
Algeria,,28.0339,1.6596,5/26/20,8697,4918,Africa
Algeria,,28.0339,1.6596,5/27/20,8857,5129,Africa
Algeria,,28.0339,1.6596,5/28/20,8997,5277,Africa
Algeria,,28.0339,1.6596,5/29/20,9134,5422,Africa
Algeria,,28.0339,1.6596,5/30/20,9267,5549,Africa
Andorra,,42.5063,1.5218,1/22/20,0,0,Europe
Andorra,,42.5063,1.5218,1/23/20,0,0,Europe
